label,relevance,keyword,count
Medical / Healthcare,0.271,Waiter,82
Non-profit / Volunteering,0.999,camp counselor,74
Non-profit / Volunteering,0.277,Camp,74
Non-profit / Volunteering,0.077,social worker,5
Non-profit / Volunteering,0.061,student assistant,4
Non-profit / Volunteering,0.061,Orientation Leader,4
Product Management / Project Management,0.997,project manager,20
Product Management / Project Management,0.554,manager,101
Product Management / Project Management,0.472,Production Manager,11
Product Management / Project Management,0.262,Programming Intern,5
Product Management / Project Management,0.210,Program manager,4
Real Estate,0.993,real estate,10
Real Estate,0.368,Real Estate Broker,2
Real Estate,0.221,mortgage broker,2
Real Estate,0.221,Actor Commercials,2
Real Estate,0.221,trainee,6
Restaurant / Food Services,0.999,Dishwasher,136
Restaurant / Food Services,0.392,fast food,43
Restaurant / Food Services,0.376,Barista,48
Restaurant / Food Services,0.349,Bartender,62
Restaurant / Food Services,0.247,clerk,140
Retail,0.999,cashier,218
Retail,0.282,grocery store,21
Retail,0.253,retail sales,22
Retail,0.210,Grocery,58
Retail,0.197,grocery clerk,15
Sales / Customer Care,0.998,sales,257
Sales / Customer Care,0.736,customer service,26
Sales / Customer Care,0.552,Sales Associate,30
Sales / Customer Care,0.491,Customer Service Rep,8
Sales / Customer Care,0.478,Sales assistant,14
Science / Research,0.998,research assistant,45
Science / Research,0.318,Tech,62
Science / Research,0.308,research,129
Science / Research,0.285,tech support,13
Science / Research,0.285,lab tech,15
Security / Law Enforcement,0.997,Security guard,22
Security / Law Enforcement,0.376,office,75
Security / Law Enforcement,0.227,office temp,5
Security / Law Enforcement,0.227,Office admin,6
Security / Law Enforcement,0.190,Security,48
Skilled Trade,0.991,Carpenter,11
Skilled Trade,0.721,summer,19
Skilled Trade,0.541,Manufacturer,7
Skilled Trade,0.450,Computer Repair Tech,2
Skilled Trade,0.360,repair,10
Software Development / IT,0.998,data entry,39
Software Development / IT,0.837,Web Developer,29
Software Development / IT,0.483,Software Engineer,17
Software Development / IT,0.376,Programmer,43
Software Development / IT,0.355,Developer,86
Sports / Fitness,0.998,Lifeguard,62
Sports / Fitness,0.275,Swim instructor,14
Sports / Fitness,0.219,instructor,69
Sports / Fitness,0.206,Soccer Referee,7
Sports / Fitness,0.172,Gymnastics coach,5
Travel / Transportation,0.998,Pizza delivery,32
Travel / Transportation,0.561,Newspaper delivery,22
Travel / Transportation,0.499,Bus Boy,16
Travel / Transportation,0.499,Paper route,16
Travel / Transportation,0.405,delivery driver,13
Writing / Editing / Publishing,0.997,intern,82
Writing / Editing / Publishing,0.397,writer,69
Writing / Editing / Publishing,0.392,Freelance Writer,9
Writing / Editing / Publishing,0.380,Copywriter,18
Writing / Editing / Publishing,0.289,reporter,47
